                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.58203,                0.73505,                 1.1287,                0.89841,                0.94126,                0.95828,                0.72692,                0.77009,                0.71312,                 0.9275,                0.07008,              0.0033245,              0.0033245
                      1,                0.57733,                0.43051,                 1.0762,                0.93594,                0.92343,                0.95736,                0.75316,                0.68729,                0.42721,                0.75307,               0.040047,              0.0066248,              0.0066248
                      2,                0.63295,                0.50827,                 1.0968,                0.80735,                0.85519,                0.89878,                0.67747,                0.83302,                0.82779,                0.95837,              0.0099809,              0.0098922,              0.0098922
                      3,                 0.6324,                0.51371,                  1.108,                0.85606,                0.92148,                0.92213,                0.71668,                0.77795,                0.56224,                0.90761,              0.0098515,              0.0098515,              0.0098515
                      4,                0.60833,                0.47835,                 1.0908,                0.93217,                0.90831,                0.94111,                0.71723,                0.84609,                 0.5655,                 1.0953,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.6033,                0.45654,                 1.0847,                0.91243,                0.90258,                0.94548,                0.73724,                 0.8317,                0.60602,                0.88575,               0.009802,               0.009802,               0.009802
                      6,                0.57305,                0.42701,                 1.0718,                0.95497,                0.93026,                0.95608,                0.76205,                0.69021,                0.41267,                0.81167,              0.0097525,              0.0097525,              0.0097525
                      7,                0.56446,                0.41422,                 1.0659,                 0.9305,                0.92837,                0.94272,                0.75427,                0.73082,                0.47483,                0.84564,               0.009703,               0.009703,               0.009703
                      8,                0.55193,                0.38896,                 1.0605,                0.95402,                0.92849,                0.96515,                0.77788,                0.66518,                 0.3978,                0.78901,              0.0096535,              0.0096535,              0.0096535
                      9,                0.53775,                0.38023,                 1.0542,                0.97168,                0.94413,                0.97685,                0.78019,                0.67386,                0.36128,                0.76461,               0.009604,               0.009604,               0.009604
